狀態,條碼編號,品名,規格,品號,定價一,零售價,九折價
正常品,4975163890309,超速吸水飛鼠大型擦拭布,300*200*47mm(204g),PP161,275,460,414
正常品,4975163890323,超速吸水小飛鼠擦拭布,250*150*42mm,PP166,160,270,243
正常品,4975163890347,Prostaff洗車海綿手套,275*179*25mm(35g),PP167,125,210,189
正常品,4975163890408,純羊毛絨毛雙面洗車手套,255*264*50mm(98g),PP176,465,775,698
正常品,4975163890613,CC 鍍膜拋光超細纖維布,260*140*40mm (2入),PP189,155,255,230
正常品,4975163890620,鍍膜車洗車海綿,265*173*25mm,PP190,95,160,144
正常品,4975163890668,魔獸二刀流清潔刷,360*480*350mm (90g),PP193,375,625,563
正常品,4975163899623,鍍膜車洗車手套,300*220*47mm,PP195,210,350,315
正常品,4975163890712,魔獸捲筒型超細纖維布橘色,210*183*183mm (30枚),PP200,595,995,896
正常品,4975163890729,魔獸捲筒型超細纖維布綠色,210*183*183mm (30枚),PP201,595,995,896
正常品,4975163890743,鍍膜車雙面洗車海綿,285*120*75mm,PP203,85,135,122
正常品,4975163899630,魔獸輪圈清洗刷,410*150*45mm,PP204,370,615,554
正常品,4975163896301,魔獸縫隙及死角清潔刷,302*176*56mm,PP206,435,720,648
正常品,4975163890750,CC 黃金級超級吸水布,300*210*43mm,PP207,355,590,531
正常品,4975163211432,Prostaff-鐵粉去除洗車精,750ml,PS-21,155,260,234
正常品,4975163611058,Prostaff超級鋼圈清潔劑,400ml (230*94*49),PS-27,110,185,167
正常品,4975163325153,光澤輪胎撥水蠟清潔劑,230*66*66mm (500ml),PS-48,130,210,189
正常品,4975163228256,Prostaff光澤耐久蠟-白,250g (白色車),PS-59,200,335,302
正常品,4975163228270,Prostaff光澤耐久蠟-深,250g (深色車),PS-61,200,335,302
正常品,4975163433018,Prostaff-魁-燈殼亮光研磨,80ml (200*105*35mm),PS-71,175,290,261
正常品,4975163833016,Prostaff-魁-鍍鉻清潔劑,80ml (200*105*35),PS-72,215,380,342
正常品,4975163433025,Prostaff-魁-燈殼亮光復元,45ml (200*105*70),PS-86,175,290,261
正常品,4975163223428,Prostaff CC黃金級鍍膜劑,300ml (全車色),PS121,685,"1,280.00",1152
正常品,4975163223435,Prostaff CC黃金級鍍膜劑,200ml (全車色),PS122,460,765,689
正常品,4975163221561,CC 黃金級鍍膜劑補充瓶,205*65*65mm(480ml),PS123,475,795,716
正常品,4975163693023,CC 黃金級輪圈鍍膜劑,193*95*85mm(200ml),PS128,415,695,626
正常品,4975163228362,Prostaff CC黃金級固體蠟,100g (全車色),PS129,450,790,711
正常品,4975163493029,Prostaff-魁-燈殼亮光復元,171g (200*120*46mm),PS132,235,390,351
正常品,4975163272044,X-MAL1 清潔鍍膜濕巾,245*165*23mm(12枚入),PS135,175,295,266
正常品,4975163228386,Prostaff 俺 鏡艷黑固體蠟,200g (?色車),PS137,375,625,563
正常品,4975163293063,Prostaff 俺 純白極上護膜,250ml,PS138,465,775,698
正常品,4975163293070,Prostaff 俺 艷黑極上護膜,250ml,PS139,465,775,698
正常品,4975163493036,Prostaff魁樹脂塑膠鍍膜劑,100ml,PS151,295,495,446
正常品,4975163296125,Prostaff專業鐵粉去除黏土,75g,PS153,185,310,279
正常品,4975163211739,細膩泡沫洗車精全車色用,220*98*98mm(1000ml),PS155,190,320,288
正常品,4975163325337,合成皮革塑膠橡膠光澤護膜,205*66mm*66mm(420ml),PS162,95,160,144
正常品,4975163325344,輪胎皮革橡膠光澤護膜,231*66*66mm(510ml),PS163,115,195,176
正常品,4975163211746,GLASIAS鐵粉去除劑,201*90*79mm(400ml),PS164,245,410,369
正常品,4975163223497,Prostaff CC黃金級鍍膜劑,210*77*41mm(70ml),PS165,175,295,266
正常品,4975163211753,強化洗車精鍍膜車專用,233*124*102mm(800ml),PS166,245,410,369
正常品,4975163236022,3兄弟去除傷痕光亮劑,200*130*47mm(各15g),PS180,185,310,279
正常品,4975163325351,極艷撥水輪胎鍍膜(附工具),234*111*57mm (325ml),PS181,190,320,288
正常品,4975163211784,極細超柔洗車泡,222*101*101mm(760ml),PS184,315,525,473
正常品,4975163211791,極細撥水洗車泡,222*101*101mm(760ml),PS185,325,545,491
正常品,4975163211807,極細去汙洗車泡,205*101*101mm(760ml),PS186,325,545,491
正常品,4975163211814,超綿密防水垢洗車泡,235*105*110mm(600ml),PS187,130,220,198
正常品,4975163233069,研磨三兄弟(粗#4000),200*105*35mm(100ml),PS188,150,250,225
正常品,4975163233076,研磨三兄弟(細#6000),200*105*35mm(100ml),PS189,150,250,225
正常品,4975163222292,四合一 PE棕櫚蠟(抗UV),208*121*60mm(300ml),PS191,295,495,446
正常品,4975163222308,四合一 抗UV撥水鍍膜,208*121*60mm(300ml),PS192,395,660,594
正常品,4975163211821,車身輪圈鐵粉去除清潔劑,218*90*79mm (400ml),PS194,330,545,491
正常品,4975163211838,X-MAL 1 洗車精,210*65*65mm (480ml),PS197,160,265,239
正常品,4975163325368,輪胎撥水清潔劑,206*66*66mm (420ml),PS198,140,235,212
正常品,4975163211845,CC 黃金級洗車精,220*95*95mm (1000ml),PS200,210,345,311
正常品,4975163293094,魔獸車身鱗狀頑垢強力去除,200*120*43mm (100ml),PS206,335,560,504
正常品,4975163811120,魔獸車身輪圈鐵粉清除劑,248*105*67mm (700ml),PS209,405,675,608
正常品,4975163233090,魁車身拋光劑,200*105*35mm (100ml),PS210,145,240,216
正常品,4975163493043,魔獸塑料鍍膜劑,200*100*50mm (30ml),PS211,405,675,608
正常品,4975163321155,CC 黃金級雙效輪胎蠟,175*118*44mm (200ml),PS218,385,640,576
正常品,4975163221783,X-MAL 1 超速洗車清潔蠟,220*94*75mm (470ml),PS224,255,420,378
正常品,4975163223664,魔獸車身復元清潔劑,210*100*45mm (200ml),PS225,540,895,806
